Player,Cost,Sel.%,Form,Pts.,RP
IsidorSunderlandFWD,5.5,0.40%,3,6,1
DansoSpursDEF,4.4,0.20%,0.5,1,1
BergvallSpursMID,5.5,0.20%,2,4,1
OdobertSpursMID,5.4,0.00%,1,2,1
SolankeSpursFWD,7.4,3.30%,1,2,1
Walker-PetersWest HamDEF,4.5,0.40%,0.5,1,1
PottsWest HamMID,4.5,0.70%,0.5,1,1
FüllkrugWest HamFWD,6,2.90%,1.5,3,1
WilsonWest HamFWD,6,0.40%,1,2,1
DohertyWolvesDEF,4.5,0.20%,0,0,1
S.BuenoWolvesDEF,4.5,0.10%,0.5,1,1
HoeverWolvesDEF,4,2.30%,1,2,1
Møller WolfeWolvesDEF,4.5,0.10%,1,2,1
TchatchouaWolvesDEF,4.5,0.00%,1,1,1
Hee ChanWolvesMID,6,0.10%,1,2,1
AndréWolvesMID,5.5,0.10%,2.5,5,1
BellegardeWolvesMID,5.5,0.10%,1.5,3,1
GomesWolvesMID,5.5,0.10%,1.5,3,1
J.AriasWolvesMID,5.5,0.60%,1,2,1
